localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
La Rioja	Rioja Suites - Duplex céntrico	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 55m²	8,8	Precio $ 125.733	+ $ 26.404 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Mamá Quilla	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 12m²	9,9	Precio $ 230.511	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Hotel Las Moras		7,6	Precio $ 115.379	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Tu casa en la rioja	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 65m²	10	Precio $ 151.398	+ $ 15.140 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	DEPARTAMENTO PRINGLES	Apartamento entero, 2 dormitorios, 1 baño, 40m²	9,6	Precio $ 188.600	+ $ 39.606 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Casa Alaniz Salinas	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 100m²	9,2	Precio $ 93.733	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	DELFINA suites 1A	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	10	Precio $ 246.536	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Nova I - Depto. Centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 47m²	9,8	Precio original $ 295.843. Precio actual $ 251.467.	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Cerros Azules en La Rioja Alojamiento Temporario	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 166.905	+ $ 35.050 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Casa Norte	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	6,8	Precio $ 12.379.504	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Torre 120	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 51m²	8,4	Precio $ 295.843	+ $ 62.127 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Lourdes 1	Apartamento entero, 1 dormitorio, 1 baño	6,0	Precio $ 56.580	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Cabaña la quebrada	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 35m²	10	Precio original $ 214.486. Precio actual $ 182.313.	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	HOSPEDAJE DEL PASEO		NA	Precio $ 224.348	+ $ 46.595 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Home MB	Villa entera, 3 dormitorios, 3 baños, 1 cocina, 350m²	NA	Precio $ 591.686	+ $ 124.254 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	CASA NOSTRA Departamento tipo casa con cochera	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 64m²	9,2	Precio $ 253.365	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Sweet Apartments II	Apartamento entero, 2 dormitorios, 1 baño, 65m²	NA	Precio original $ 221.882. Precio actual $ 188.600.	+ $ 39.606 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Complejo Aguila Blanca		5,7	Precio $ 209.901	+ $ 44.079 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	CALMA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	NA	Precio $ 285.982	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	COQUENA Departamentos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,5	Precio $ 2.465.359	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
La Rioja	Casa La Quebrada	Casa o chalet entero, 5 dormitorios, 2 baños, 300m²	NA	Precio $ 419.111	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-10-1	2023-10-15
