localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Salta	Departamento El Altillo	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 30m²	9,8	Precio $ 115.256	+ $ 24.204 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	coquita y bica	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	NA	Precio $ 104.778	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Pia I	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 35m²	9,2	Precio $ 188.600	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Buena Onda - Departamento cómodo y con estilo	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 115.256	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Brisas	Apartamento entero, 2 dormitorios, 1 baño, 65m²	NA	Precio $ 146.196	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Augusta 12	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 44m²	9,7	Precio $ 312.748	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Huancar	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 52m²	10	Precio $ 122.035	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Brillo Norteño	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 75m²	8,8	Precio $ 240.989	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Rivadavia	Apartamento entero, 1 dormitorio, 1 baño, 42m²	9,9	Precio $ 110.941	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	La Nonna Departamento/ Habitaciones Turistas Salta	Apartamento entero, 3 dormitorios, 3 baños, 116m²	NA	Precio $ 242.049	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	LRC Apart	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 63m²	10	Precio $ 288.447	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Depto. Ameghino 540	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 142.892	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hermoso Amanecer (hospedaje familiar)	Apartamento entero, 2 dormitorios, 2 baños, 40m²	NA	Precio $ 251.467	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Guemes Salta	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 54m²	9,6	Precio $ 369.804	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hotel Nuevo Reyes		9,0	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
