localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Albardón	Doña Emilia Amarfil		9,0	Precio $ 135.595	+ $ 28.475 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Médanos Negros Departamentos	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	8,8	Precio $ 120.803	+ $ 27.130 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	LA NEBULOSA	Apartamento entero, 1 dormitorio, 1 baño, 40m²	4,0	Precio $ 86.288	+ $ 18.120 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Apart Hotel Pueblo Viejo	Apartamento entero, 1 dormitorio, 1 baño, 20m²	6,4	Precio $ 197.229	+ $ 41.418 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento amplio, muy bien ubicado, dos ambientes, separado cocina y baño, el barrio no es lindo pero las instalaciones perfectas y li	Apartamento entero, 2 dormitorios, 1 baño, 60m²	NA	Precio $ 498.742	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	DepartamentoSarmiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 24m²	NA	Precio $ 98.614	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Exclusivo Céntrico SJ Diseño y Confort	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 90m²	NA	Precio $ 272.422	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Moto Hostel San Juan		10	Precio original $ 98.614. Precio actual $ 88.753.	+ $ 18.638 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento a 700 metros centro de san juan	Apartamento entero, 1 dormitorio, 2 baños, 1 cocina, 110m²	NA	Precio $ 167.644	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento Nuevo	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina, 80m²	9,7	Precio original $ 188.600. Precio actual $ 160.310.	+ $ 33.665 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Dominguito departamentos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	7,4	Precio $ 88.753	+ $ 18.638 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Los Felices San Juan	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 65m²	9,0	Precio $ 135.595	+ $ 2.113 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Puerta del Sol I	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 25m²	8,6	Precio $ 105.838	+ $ 22.226 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Las Breas Apart	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	10	Precio $ 183.472	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Puerta del Sol II	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,6	Precio $ 135.595	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Loft Diseño Boutique SJ Centro	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 50m²	9,5	Precio $ 248.508	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Gran Hotel Provincial		8,2	Precio $ 172.575	+ $ 36.241 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hotel Plaza San Juan		7,3	Precio $ 143.038	+ $ 30.038 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Pirkas Apartment	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	9,7	Precio $ 241.605	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	El Refugio Hotel		8,0	Precio $ 155.318	+ $ 32.617 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Santa Lucía	Departamento La Plaza	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 54m²	9,0	Precio $ 84.315	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hotel Selby		7,3	Precio $ 138.430	+ $ 29.070 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Complejo Nazareno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	8,6	Precio $ 140.525	+ $ 29.510 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hotel Cerro Blanco		7,8	Precio $ 162.009	+ $ 34.022 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hotel America		8,1	Precio $ 123.268	+ $ 25.886 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Urban	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 37m²	NA	Precio $ 103.545	+ $ 21.744 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Destino San Juan Hostel	2 camas en habitación compartida	7,6	Precio $ 78.891	+ $ 15.828 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	San Juan Hostel		6,7	Precio $ 84.527	+ $ 17.751 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Santa Lucía	Excelente Duplex para 5 personas	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 107m²	9,3	Precio original $ 184.902. Precio actual $ 166.412.	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	LA NEBULOSA	Apartamento entero, 1 dormitorio, 1 baño, 40m²	4,0	Precio $ 86.288	+ $ 18.120 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Santa Lucía	Cabaña Entre Parras	Casa o chalet entero, 2 dormitorios, 1 baño, 56m²	NA	Precio original $ 211.316. Precio actual $ 169.053.	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamentos amoblados de Jardines de Libertador	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	9,0	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Rivadavia	Alquiler depto por día en Complejo ASPEN	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 188.600	+ $ 18.860 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento calle Rivadavia	Apartamento entero, 1 dormitorio, 1 baño, 86m²	10	Precio $ 108.969	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento Céntrico Con Cochera	Apartamento entero, 2 dormitorios, 1 baño	NA	Precio $ 257.753	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Apart Hotel Pueblo Viejo	Apartamento entero, 1 dormitorio, 1 baño, 20m²	6,4	Precio $ 197.229	+ $ 41.418 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	HOTEL CUESTA DEL VIENTO		7,2	Precio $ 122.035	+ $ 25.627 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	AP CENTRO	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 70m²	10	Precio $ 188.600	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Tres Marias	Apartamento entero, 2 dormitorios, 3 salas de estar, 1 baño, 1 cocina, 110m²	8,8	Precio $ 170.849	+ $ 35.878 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento Centro de San Juan	Apartamento entero, 3 dormitorios, 1 baño	6,5	Precio $ 308.170	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Catamarán VI Residencial San Juan	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 10m²	9,5	Precio $ 493.072	+ $ 86.288 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Capital Hostel		9,2	Precio $ 110.941	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Santa Lucía	ANDES I	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 65m²	NA	Precio $ 143.336	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Confortable departamento con cochera.	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 31m²	NA	Precio $ 124.254	+ $ 26.093 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento para 4 personas	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 90m²	NA	Precio $ 419.111	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Dpto a 2 cuadras de parque de mayo/ estadio Aldo Cantoni	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	NA	Precio $ 288.447	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hotel Anmara		9,5	Precio $ 81.357	+ $ 17.085 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hermoso departamento a estrenar	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Paz Apartments	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 90m²	10	Precio $ 117.351	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Alquileres Temporarios en San Juan	Apartamento entero, 1 dormitorio, 1 baño, 35m²	8,4	Precio $ 123.268	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Alto del Bono	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,3	Precio $ 86.288	+ $ 18.120 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Hotel Del Bono Park		8,8	Precio $ 453.823	+ $ 95.303 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Apart La Martina	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	10	Precio $ 206.622	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Rivadavia	Duplex Ayres del Libertador	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 120m²	10	Precio $ 160.298	+ $ 49.692 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento cómodo en edificio Natania 2	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina	9,0	Precio $ 221.882	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
Rivadavia	Malbec San Juan	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	10	Precio $ 136.211	+ $ 13.621 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Departamento confortable y moderno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 55m²	9,3	Precio $ 139.786	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	TRINIDAD	Apartamento entero, 1 dormitorio, 1 baño, 40m²	8,8	Precio $ 110.941	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
San Juan	Monoambiente PB Segundino Navarro	Apartamento entero, 1 dormitorio, 1 baño, 48m²	NA	Precio $ 113.160	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-1-1	2023-1-15
