localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Formosa	Departamento Rivadavia	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 31m²	8,9	Precio $ 56.580	+ $ 11.882 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	La Plaza	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 38m²	8,7	Precio original $ 113.407. Precio actual $ 110.004.	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	San Miguel	Apartamento entero, 2 dormitorios, 1 baño, 80m²	5,0	Precio $ 124.673	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Las Americas	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,5	Precio $ 89.862	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Fenix 4	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 35m²	9,5	Precio $ 104.778	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Complejo La Pilar	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 22m²	8,8	Precio $ 98.614	+ $ 20.709 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Departamentos Temporarios Aeropuerto	Apartamento entero, 1 dormitorio, 1 baño, 40m²	NA	Precio $ 97.973	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Complejo Junin Dpto1	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 32m²	8,6	Precio $ 87.126	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Hostal Fermosa	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño	8,3	Precio $ 62.028	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	WINTER Departamentos Temporarios	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 30m²	8,7	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	La Casa de Mirna	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 43m²	10	Precio $ 115.256	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	Complejo Junin Dpto2	Apartamento entero, 1 dormitorio, 1 baño, 24m²	NA	Precio $ 84.315	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	B3 Apartments	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 42m²	8,4	Precio $ 133.129	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	City Apartments Formosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	7,0	Precio $ 133.129	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Formosa	alquiler temporal DIARIO DE IRIGOYEN	Apartamento entero, 2 dormitorios, 1 baño, 54m²	NA	Precio $ 124.673	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Presidencia Roque Sáenz Peña	ESPECTACULAR CASONA BOUTIQUE con pileta y gym!! hasta 5 huéspedes		9,8	Precio $ 133.129	+ $ 13.313 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Aviá Terai	Hotel de Campo El Rebenque		9,0	Precio $ 98.614	+ $ 20.709 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Colonia Benítez	Quinta industrial LA BIENVENIDA	Casa o chalet entero, 3 dormitorios, 3 baños, 1 cocina, 208m²	10	Precio $ 405.699	+ $ 40.570 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	CV Apart	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 53m²	8,8	Precio $ 152.236	+ $ 31.970 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Casa Bernardis Alquiler temporal	Apartamento entero, 1 dormitorio, 1 baño, 45m²	NA	Precio $ 157.783	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
