localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Paraná	Departamento Completamente Amoblado Hasta para 5 Personas	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 10m²	8,1	Precio $ 118.527	+ $ 1.235 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento Amoblado Hasta Para 5 Personas	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 12m²	7,0	Precio $ 118.527	+ $ 1.235 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	La Cloty		10	Precio $ 71.963	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Casa México	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina	9,7	Precio $ 98.199	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamentos Fleming, luminosos p hasta 4 personas	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	9,5	Precio $ 184.986	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Parana super mono	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 32m²	8,8	Precio $ 148.123	+ $ 31.106 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento practico, con buena iluminación y ubicación.	Apartamento entero, 1 dormitorio, 1 baño, 36m²	8,0	Precio $ 95.950	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento Alvear	Apartamento entero, 1 dormitorio, 1 baño	9,0	Precio original $ 141.103. Precio actual $ 126.993.	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Amplia Casa 2 Dormitorios Hasta 8 Personas	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	8,6	Precio $ 206.011	+ $ 45.732 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	E Carbó 916	Apartamento entero, 2 dormitorios, 1 baño, 58m²	10	Precio $ 94.280	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Alameda	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 43m²	NA	Precio $ 86.355	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Posta Batata	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,0	Precio $ 169.324	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Apart ciudad de Parana, Entre Rios	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	8,9	Precio $ 157.055	+ $ 32.982 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Patagonia Apart Dpto 1	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	9,6	Precio $ 183.434	+ $ 38.521 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	BALCÓN AL RíO PARANÁ	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 50m²	9,7	Precio $ 239.875	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Depto. Céntrico Paraná	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 131.931	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Alquilo Departamento en Paraná para 10 Personas	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	8,5	Precio $ 155.213	+ $ 1.764 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Cabaña Montoya	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 36m²	9,2	Precio $ 169.324	+ $ 35.558 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	DEPARTAMENTO COSTANERA pb	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 30m²	8,9	Precio $ 112.883	+ $ 23.705 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento Temporario Apart Teatro	Apartamento entero, 1 dormitorio, 1 baño, 62m²	NA	Precio original $ 102.949. Precio actual $ 97.813.	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Suites con baño privado		8,0	Precio $ 248.342	+ $ 52.152 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Alojamiento Liliana	Apartamento entero, 1 dormitorio, 1 baño	9,0	Precio $ 203.894	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	MI QUINTA	Casa o chalet entero, 2 dormitorios, 2 baños, 90m²	NA	Precio $ 479.751	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Casa sustentable	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 1 baño, 200m²	NA	Precio $ 172.710	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Casa Tola	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 130m²	9,5	Precio $ 120.897	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	MODERNO DEPTO ZONA PARQUE CON YACUZZI	Apartamento entero, 2 dormitorios, 2 baños, 83m²	NA	Precio $ 392.267	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Profundas Raíces	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 48m²	9,0	Precio original $ 931.281. Precio actual $ 791.589.	+ $ 706 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Alojamiento temporario Paraná	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 38m²	NA	Precio $ 244.673	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento moderno totalmente equipado en centro de Paraná	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 38m²	8,9	Precio $ 69.141	+ $ 14.520 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	parana ideal	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	8,4	Precio $ 175.532	+ $ 36.862 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
